"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3137","TC_PAY_08 Verify Async Payment Loading","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","60118","TC_CART_10 Verify Negative Quantity Handling","chromium","2026-06-05","broken","2026-06-05","","cart/cart.spec.js","",""
"","3416","TC_AUTH_15 Verify login page API response(_addon test cases","chromium","2026-06-05","passed","2026-06-05","","auth/login.spec.js","",""
"","4378","TC_SRH_07 Verify uppercase keyword search","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","2262","TC_AUTH_09 Verify duplicate email registration","chromium","2026-06-05","failed","2026-06-05","","auth/register.spec.js","",""
"","1733","TC_WSH_07 Verify Wishlist Body Visibility","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","14474","TC_CART_02 Verify Cart Quantity Update","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","3534","TC_SRH_11 Verify product links","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","2330","TC_CART_08 Verify Multiple Product Addition","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","2594","TC_WSH_13 Verify Wishlist Navigation Persistence","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","4663","TC_SRH_14 Verify async product loading _addon test cases","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","24104","TC_AUTH_01 Verify registration with valid details","chromium","2026-06-05","passed","2026-06-05","Registration Test Cases","auth/register.spec.js","",""
"","1827","TC_PRF_01 Verify User Login Before Profile Access","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","1355","TC_CHK_10 Verify Required Field Validation","chromium","2026-06-05","passed","2026-06-05","","checkout/checkout.spec.js","",""
"","1708","TC_PAY_12 Verify Order Summary Visibility","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","1316","TC_CART_07 Verify Continue Shopping","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","2430","TC_PRF_07 Verify Order History Page Visibility","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","2088","TC_AUTH_07 Verify password minimum length validation","chromium","2026-06-05","passed","2026-06-05","Registration Test Cases","auth/register.spec.js","",""
"","20598","TC_CART_05 Verify Product Price In Cart","chromium","2026-06-05","failed","2026-06-05","","cart/cart.spec.js","",""
"","2351","TC_PAY_06 Verify Confirm Order Visibility","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","1242","TC_PRF_12 Verify Profile Page Title","chromium","2026-06-05","passed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","2446","TC_SRH_06 Verify partial keyword search","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","60117","TC_CHK_06 Verify Payment Method Selection","chromium","2026-06-05","broken","2026-06-05","","checkout/checkout.spec.js","",""
"","8513","TC_SRH_08 Verify special character search handling","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","7813","TC_CHK_12 Verify Checkout Page Refresh","chromium","2026-06-05","passed","2026-06-05","","checkout/checkout.spec.js","",""
"","2136","TC_CART_11 Verify Cart Page Navigation","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","7512","TC_WSH_12 Verify Wishlist Continue Shopping","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","1928","TC_PAY_10 Verify Payment Button Click","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","1580","TC_PRF_05 Verify Account Navigation URL","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","14004","TC_WSH_11 Verify Wishlist Footer Visibility","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","1731","TC_PRF_13 Verify Async Profile Loading","chromium","2026-06-05","passed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","60135","TC_CHK_05 Verify Shipping Method Selection","chromium","2026-06-05","broken","2026-06-05","","checkout/checkout.spec.js","",""
"","1176","TC_WSH_15 Verify Wishlist API Response","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","16828","TC_CHK_14 Verify Async Checkout Loading _addon test cases","chromium","2026-06-05","passed","2026-06-05","","checkout/checkout.spec.js","",""
"","2328","TC_PAY_05 Verify Payment Information Page","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","60121","TC_CHK_08 Verify Confirm Order Button","chromium","2026-06-05","broken","2026-06-05","","checkout/checkout.spec.js","",""
"","1780","TC_WSH_14 Verify Wishlist Auth Visibility","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","3654","TC_PDT_14 Verify async image loading _addon test cases","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","11938","TC_CART_09 Verify Quantity Persistence","chromium","2026-06-05","failed","2026-06-05","","cart/cart.spec.js","",""
"","2290","TC_PRF_14 Verify Authenticated User Visibility","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","4313","TC_SRH_12 Verify descending sorting","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","60125","TC_CHK_03 Verify Billing Address Form","chromium","2026-06-05","broken","2026-06-05","","checkout/checkout.spec.js","",""
"","12014","TC_CART_06 Verify Subtotal Calculation","chromium","2026-06-05","failed","2026-06-05","","cart/cart.spec.js","",""
"","60124","TC_CHK_11 Verify Invalid Zip Code Handling","chromium","2026-06-05","broken","2026-06-05","","checkout/checkout.spec.js","",""
"","1291","TC_PRF_08 Verify Logout Functionality","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","2001","TC_PDT_03 Verify quantity update functionality","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","1787","TC_PDT_07 Verify breadcrumb navigation","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","2327","TC_SRH_13 Verify filtering after search _addon test cases","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","2020","TC_PDT_08 Verify image thumbnail switching","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","2236","TC_WSH_08 Verify Wishlist Async Loading","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","1993","TC_PDT_13 Verify stock validation _addon test cases","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","1170","TC_CART_15 Verify Cart API Response _addon test cases","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","11782","TC_WSH_02 Verify Wishlist Link Visibility","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","7398","TC_PRF_06 Verify Order History Navigation","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","1846","TC_PRF_03 Verify Profile Information Visibility","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","2242","TC_AUTH_03 Verify login with invalid password","chromium","2026-06-05","failed","2026-06-05","Authentication Test Cases","auth/login.spec.js","",""
"","9427","TC_SRH_02 Search invalid product keyword","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","8936","TC_SRH_01 Search valid product keyword","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","2972","TC_WSH_09 Verify Wishlist Screenshot Capture","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","2143","TC_WSH_05 Verify Wishlist Page Refresh","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
